N,S_wide,S_narrow,M_wide,M_narrow,abs_err_wide,abs_err_narrow,rel_err_wide,rel_err_narrow
45600,0.9589949018769321,0.785,4498,35796,0.014477715977468497,0.15951718589946362,0.0153281657481768,0.16888754199591977
46100,0.9319331623675301,0.7860737527114967,4419,36238,0.012584023531933552,0.15844343318796694,0.013323234049944562,0.16775071491905283
46600,0.9329912444368695,0.7846137339055794,4472,36563,0.011525941462594114,0.15990345199388423,0.01220299813985699,0.16929649812735612
47100,0.9451732598289401,0.7846921443736731,4579,36959,0.0006560739294764195,0.15982504152579058,0.0006946130142159779,0.16921348167274394
47600,0.9546483918837823,0.786155462184874,4674,37421,0.010131205984318603,0.15836172371458968,0.010726333131430166,0.16766420566903906
48100,0.9517991312285452,0.7844074844074844,4709,37730,0.007281945329081552,0.16010970149197923,0.0077097012503239476,0.16951486313031644
48600,0.9312045858132314,0.7866666666666666,4655,38232,0.013312600086232251,0.15785051923279703,0.014094608637062186,0.16712297202138887
49100,0.9308301654674751,0.7877393075356416,4701,38678,0.01368702043198855,0.15677787836382207,0.014491023177047225,0.1659873220988801
49600,0.9447720827237495,0.7862298387096774,4820,38997,0.00025489682428581073,0.1582873471897862,0.00026986996964282074,0.16758546011955217
50100,0.9403886394796,0.7824151696606786,4846,39199,0.004128546419863599,0.16210201623878506,0.0043710654305691475,0.17162421039953374
50600,0.9253321493928454,0.7849407114624506,4816,39718,0.01918503650661829,0.15957647443701306,0.020312003627915336,0.16895031325983592
51100,0.9337816686328363,0.7852837573385518,4908,40128,0.010735517266627359,0.15923342856091183,0.011366142857849565,0.16858711618812297
51600,0.9415021970374593,0.7868992248062016,4997,40604,0.003014988862004353,0.1576179610932621,0.003192095291662882,0.1668767529551752
52100,0.9389978526978481,0.7861036468330135,5032,40956,0.005519333201615573,0.15841353906645017,0.00584354978820159,0.16771906475750673
52600,0.9524366269222971,0.785171102661597,5153,41300,0.007919441022833484,0.1593460832378667,0.008384644706376412,0.16870638842439
53100,0.9451161167553264,0.7835028248587571,5162,41604,0.0005989308558627116,0.16101436104070654,0.0006341132430452811,0.17047266417643062
53600,0.947001339945015,0.7876679104477612,5221,42219,0.0024841540455513567,0.15684927545170246,0.002630078184533717,0.1660629131934057
54100,0.9594544152262986,0.7868761552680221,5339,42570,0.014937229326834944,0.15764103063144153,0.01581467182368971,0.16690117764381385
54600,0.9257396489018831,0.7861721611721612,5199,42925,0.018777536997580557,0.1583450247273025,0.019880566788944884,0.16764652575009584
55100,0.9429236759259121,0.7878039927404719,5344,43408,0.0015935099735515657,0.1567131931589918,0.0016871159120668262,0.16591883715673614
55600,0.9356681563885386,0.7843345323741007,5351,43609,0.008849029510925033,0.16018265352536298,0.009368839067229996,0.1695921005109304
56100,0.9403263759684086,0.7876827094474154,5426,44189,0.004190809931055028,0.1568344764520483,0.004436986423983509,0.16604724487113998
56600,0.9493682936975738,0.7844346289752651,5527,44399,0.004851107798110155,0.1600825569241986,0.005136071498254894,0.16948612403675004
57100,0.9637003415989076,0.7854816112084063,5660,44851,0.019183155699443954,0.15903557469105734,0.020310012338394707,0.16837763998926897
57600,0.9428446431358968,0.7854166666666667,5586,45240,0.0016725427635668755,0.159100519232797,0.0017707912450254815,0.16844639950228707
58100,0.9236865829879118,0.7848020654044751,5520,45597,0.02083060291155181,0.1597151204949886,0.02205423386946086,0.16909710366243033
58600,0.9345527616811029,0.7872866894197952,5633,46135,0.009964424218360746,0.15723049647966847,0.010549754273525076,0.1664665279011709
59100,0.9294427774238176,0.7840947546531303,5650,46340,0.015074408475646006,0.16042243124633337,0.015959909147963938,0.1698459632511219
59600,0.9647099335212671,0.7856375838926174,5914,46824,0.020192747621803453,0.15887960200684625,0.021378909694029443,0.16821250516002545
60100,0.947786931120508,0.783377703826955,5859,47081,0.0032697452210443956,0.1611394820725086,0.0034618165448526144,0.17060513506597075
60600,0.9678819507675324,0.7863366336633664,6033,47652,0.02336476486806871,0.15818055223609728,0.024737257528901865,0.16747239181832563
61100,0.9381622518932491,0.7871031096563011,5896,48092,0.006354934006214563,0.1574140762431625,0.006728235442495162,0.16666089150432672
61600,0.9636909438510947,0.7856006493506493,6106,48393,0.01917375795163101,0.15891653654881432,0.020300062548223346,0.1682516093102934
62100,0.9318221127883655,0.7822061191626409,5952,48575,0.012695073111098187,0.16231106673682272,0.01344080690179149,0.17184554093873253
62600,0.9472093800246396,0.7870287539936103,6099,49268,0.002692194125175962,0.15748843190585338,0.0028503389513364814,0.1667396149662191
63100,0.9356978075231767,0.7858161648177496,6073,49585,0.00881937837628699,0.15870102108171402,0.009337446166094159,0.16802343403691808
63600,0.9549399891648171,0.7875,6247,50085,0.010422803265353497,0.15701718589946367,0.01103505941549159,0.1662406870341234
64100,0.951131272602221,0.784804992199688,6271,50306,0.006614086702757316,0.15971219369977563,0.0070026112827780065,0.1690940049414577
64600,0.9302248039915233,0.7859442724458204,6181,50772,0.014292381907940355,0.15857291345364322,0.015131944787568604,0.1678878011125168
65100,0.9571300973209264,0.7861904761904762,6409,51181,0.012612911421462702,0.15832670970898743,0.013353818871438985,0.1676271348712548
65600,0.9590235025122299,0.7874390243902439,6471,51656,0.014506316612766246,0.15707816150921972,0.015358446441556149,0.16630524447221592
66100,0.9360313648656177,0.7869894099848714,6364,52020,0.008485821033845986,0.15752777591459222,0.008984295003340716,0.16678127012011806
66600,0.9395145196152747,0.7846246246246247,6436,52256,0.005002666284188995,0.15989256127483897,0.0052965328306069474,0.16928496766585915
67100,0.9446844474902721,0.7870044709388971,6520,52808,0.00016726159080848735,0.1575127149605665,0.0001770868686197638,0.16676532445576114
67600,0.9477644370332431,0.7815976331360946,6590,52836,0.0032472511337794385,0.162919552763369,0.0034380011102572807,0.17248977064215165
68100,0.9355235963746291,0.7851835535976505,6553,53471,0.008993589524834533,0.1593336323018132,0.009521890823267485,0.16869320609564112
68600,0.9309724648453679,0.7846209912536443,6569,53825,0.013544721054095765,0.1598961946458194,0.0143403648512728,0.16928881446826216
69100,0.9577218443658775,0.7842402315484804,6807,54191,0.013204658466413832,0.16027695435098321,0.013980326312261896,0.16969194075420818
69600,0.9526575749008208,0.783132183908046,6820,54506,0.008140389001357162,0.1613850019914177,0.008618571607678129,0.17086507731220452
70100,0.9453078269511717,0.7866048502139801,6816,55141,0.0007906410517080076,0.15791233568548357,0.0008370848762853162,0.1671884196951945
70600,0.9409540365511633,0.7825212464589235,6833,55246,0.0035631493483003762,0.16199593944054014,0.003772455812868232,0.1715119024396273
71100,0.9443188594265415,0.7872011251758088,6906,55970,0.00019832647292217231,0.1573160607236549,0.00020997656356385515,0.16655711835867001
71600,0.9382675900704901,0.7845670391061452,6910,56175,0.006249595828973553,0.15995014679331843,0.006616709491656378,0.16934593587198513
72100,0.9656063186373369,0.7845353675450762,7161,56565,0.021089132737873273,0.1599818183543874,0.022327950250889392,0.16937946788341043
72600,0.9384673384660751,0.782465564738292,7008,56807,0.006049847433388544,0.16205162116117167,0.006405227478870355,0.17157085501504127
73100,0.9311172889323127,0.7818331053351573,7001,57152,0.013399896967150937,0.1626840805643064,0.014187033510025777,0.17224046633877005
73600,0.9386616589161277,0.7870380434782609,7106,57926,0.0058555269833359125,0.15747914242120276,0.006199492259910225,0.1667297797988031
74100,0.9399376785643317,0.783778677462888,7164,58078,0.004579507335131905,0.16073850843657567,0.004848516685030818,0.1701806074428433
74600,0.9406752992384313,0.784396782841823,7218,58516,0.0038418866610323565,0.16012040305764064,0.004067566708565211,0.16952619332718438
75100,0.9478758916445662,0.7874167776298269,7322,59135,0.0033587057451025526,0.15710040826963678,0.003556002786655552,0.16632879805149345
75600,0.9248889125444044,0.786547619047619,7192,59463,0.019628273355059234,0.1579695668518446,0.020781277088534108,0.16724901273385534
76100,0.9294157565390532,0.7849540078843626,7275,59735,0.015101429360410479,0.159563178015101,0.015988517293128328,0.1689362357797111
76600,0.9439102493124266,0.7868668407310705,7437,60274,0.0006069365870370325,0.15765034516839316,0.000642589246757905,0.16691103933515275
77100,0.9503986860289472,0.7846562905317769,7537,60497,0.005881500129483519,0.15986089536768677,0.006226991120211928,0.1692514416404729
77600,0.9445255536693535,0.7827963917525773,7539,60745,8.367769889883192e-06,0.16172079414688634,8.85930930088325e-06,0.1712205945653383
78100,0.9576490640436846,0.7843918053777209,7693,61261,0.013131878144220899,0.16012538052174274,0.013903270729494892,0.16953146317740672
78600,0.9436409058612187,0.7848600508905852,7629,61690,0.0008762800382449143,0.15965713500887846,0.0009277544668606881,0.16903571199378123
79100,0.9373073172291629,0.786118836915297,7626,62182,0.007209868670300712,0.1583983489841666,0.007633390665554438,0.1677029823796418
79600,0.9454655078850722,0.7842462311557789,7741,62426,0.000948321985608569,0.1602709547436848,0.0010040283011954747,0.16968558871806952
80100,0.9321598518651283,0.786267166042447,7680,62980,0.012357334034335365,0.1582500198570167,0.013083228361342602,0.16754594010517154
80600,0.933252678459451,0.7847394540942928,7737,63250,0.011264507440012617,0.15977773180517085,0.011926206963916096,0.16916339288523854
81100,0.9490770697377519,0.7849075215782984,7917,63656,0.004559883838288203,0.1596096643211653,0.0048277404650354,0.16898545278365584
81600,0.9327769900942611,0.7854656862745099,7829,64094,0.01174019580520258,0.1590514996249538,0.01242983820778485,0.16839450038538903
82100,0.9340829282952093,0.7874056029232643,7888,64646,0.010434257604254316,0.15711158297619932,0.011047186604993082,0.16634062918249812
82600,0.935255354702502,0.7842615012106537,7946,64780,0.009261831196961667,0.1602556846888099,0.009805889543599598,0.1696694216698645
83100,0.9457731294851577,0.7863417569193742,8084,65345,0.0012559435856940304,0.1581754289800894,0.0013297202046122596,0.16746696761209162
83600,0.9360463193994212,0.7845693779904306,8049,65590,0.008470866500042473,0.15994780790903307,0.008968462010541044,0.16934345959699482
84100,0.9377641720208869,0.786730083234245,8112,66164,0.006753013878576741,0.15778710266521867,0.007149699316636411,0.16705583023876694
84600,0.9402661511088246,0.7842553191489362,8182,66348,0.004251034790639041,0.16026186675052745,0.004500749011348884,0.169675966878157
85100,0.9481081820275148,0.785840188014101,8299,66875,0.003590996128051138,0.1586769978853626,0.003801938367729575,0.1679979996703337
85600,0.9418887088178916,0.7839135514018691,8293,67103,0.0026284770815721004,0.16060363449759452,0.002782879042130929,0.17003781074099958
86100,0.9508723214523979,0.7858188153310105,8421,67659,0.00635513555293421,0.15869837056845315,0.006728448828469135,0.16802062782724775
86600,0.9367379031006523,0.7840993071593534,8344,67903,0.007779282798811349,0.16041787874011026,0.008236253310100587,0.1698411433216478
87100,0.9510057214304986,0.7835132032146958,8520,68244,0.0064885355310349,0.1610039826847679,0.006869684986044873,0.170461676175266
87600,0.94202614139311,0.7834246575342466,8488,68628,0.0024910445063536235,0.16109252836521704,0.0026373734046791345,0.17055542320472297
88100,0.9459494824773712,0.7872985244040863,8572,69361,0.0014322965779075547,0.15721866149537733,0.0015164325215994655,0.16645399770641336
88600,0.9442322786994513,0.7848194130925508,8605,69535,0.00028490720001239644,0.15969777280691289,0.0003016432144017362,0.1690787369367268
89100,0.9437346113893531,0.7845342312008978,8649,69902,0.0007825745101105452,0.15998295469856583,0.0008285444900246041,0.16938067097870121
89600,0.9428084744753499,0.7833035714285714,8689,70184,0.0017087114241137735,0.16121361447089222,0.0018090845244775168,0.17068362214856736
90100,0.9546252696324227,0.7871254162042175,8847,70920,0.010108083732959017,0.15739176969524615,0.010701852633134556,0.16663727462551353
90600,0.9454938178752902,0.784514348785872,8811,71077,0.0009766319758265363,0.16000283711359164,0.0010340012764262088,0.16940172132624665
91100,0.9404112188304752,0.7836114160263447,8812,71387,0.00410596706898847,0.160905769873119,0.004347159723809956,0.17035769414813606
91600,0.9691356266932442,0.7848799126637555,9131,71895,0.024618440793780505,0.1596372732357082,0.026064576866683866,0.16901468350063492
92100,0.9374841413284611,0.7836699239956569,8881,72176,0.007033044571002511,0.16084726190380672,0.007446179567717388,0.17029574930458452
92600,0.9539452190834361,0.7851403887688985,9086,72704,0.00942803318397245,0.15937679713056518,0.009981854565191564,0.16873890651210405
93100,0.946106893150335,0.7832867883995703,9060,72924,0.001589707250871375,0.16123039749989332,0.0016830898099090667,0.17070139104600157
93600,0.954659738914542,0.784775641025641,9191,73455,0.010142553015078382,0.15974154487382264,0.010738346709297438,0.16912508026172204
94100,0.9378090123648373,0.784240170031881,9077,73797,0.006708173534626383,0.1602770158675827,0.007102224961886945,0.1696920058844148
94600,0.9517621678567771,0.7846088794926004,9261,74224,0.00724498195731349,0.15990830640686327,0.007670566576736339,0.1693016376981882
95100,0.938886399692073,0.7860988433228181,9184,74758,0.005630786207390659,0.15841834257664555,0.005961549764738756,0.1677241504354246
95600,0.9501455672339024,0.7851359832635983,9343,75059,0.00562838133443877,0.1593812026358653,0.005959003624776677,0.16874357080552918
96100,0.9289141762622908,0.7845161290322581,9182,75392,0.015603009637172871,0.16000105686720556,0.016519561390843436,0.16939983650465457
96600,0.9511791605662633,0.7864803312629399,9451,75974,0.0066619746667996305,0.15803685463652373,0.0070533122808722985,0.16732025313655383
97100,0.94347772506654,0.786961894953656,9423,76414,0.001039460832923611,0.15755529094580767,0.0011005208252867654,0.1668104014388767
97600,0.9323687760122548,0.7860655737704918,9360,76720,0.012148409887208889,0.15845161212897185,0.01286203159515828,0.16775937430728524
98100,0.9747903083932301,0.7854841997961264,9836,77056,0.030273122493766458,0.15903298610333727,0.03205142579267879,0.1683748993427686
98600,0.9661002848588831,0.7863387423935091,9798,77533,0.021583098959419456,0.15817844350595456,0.022850933028673134,0.16747015921718908
99100,0.9365036309427446,0.7845812310797174,9546,77752,0.008013554956719071,0.1599359548197462,0.008484287079528112,0.1693309102337182
99600,0.9406849819109533,0.7859839357429719,9637,78284,0.003832203988510363,0.15853325015649178,0.004057315256641895,0.1678458079145702
